poptrie,rrc11,54.6,54.8,54.5,54.5,54.5,54.5,54.5,54.4,54.5,54.6
poptrie,rrc12,50.6,50.8,50.9,51.0,51.0,50.8,50.9,50.8,51.0,50.9
poptrie,rrc13,53.8,54.5,54.6,53.5,54.6,54.5,54.5,54.6,54.3,54.6
poptrie,rrc14,51.0,51.0,51.0,51.0,51.0,51.0,50.9,51.0,51.1,51.0
poptrie,rrc15,53.2,53.5,53.6,53.6,53.6,53.4,53.6,53.5,53.6,53.6
poptrie,rrc16,51.1,51.1,51.0,50.9,50.9,51.0,50.9,50.9,51.0,51.0
poptrie,rrc18,51.1,51.2,51.3,51.3,51.4,51.4,51.3,51.3,51.4,51.3
poptrie,rrc19,54.6,54.9,54.7,54.7,54.7,54.8,54.6,54.6,54.8,54.8
poptrie,rrc20,50.8,50.8,50.7,50.7,50.8,50.7,50.7,50.7,50.8,50.7
poptrie,rrc21,55.1,54.8,54.9,54.8,54.9,54.8,54.8,54.9,54.9,54.9
poptrie,rrc22,51.3,51.4,51.5,51.5,51.5,51.5,51.4,51.4,51.5,51.5
poptrie,rrc23,54.6,54.4,54.3,54.3,54.4,54.3,54.3,54.1,54.3,54.4
poptrie,rrc24,51.3,51.4,51.3,51.1,51.2,51.3,51.2,51.3,51.2,51.3
dxr,rrc00,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4
dxr,rrc01,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3
dxr,rrc02,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
dxr,rrc03,20.9,20.9,20.6,20.9,20.9,20.9,20.9,20.9,20.9,20.9
dxr,rrc04,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.9
dxr,rrc05,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,20.9
dxr,rrc06,25.0,25.0,24.9,24.9,25.0,24.9,24.9,24.9,24.9,24.9
dxr,rrc07,21.2,21.2,20.6,21.2,21.2,21.2,21.2,21.2,21.2,21.2
dxr,rrc10,24.9,24.9,24.8,24.8,24.9,24.8,24.8,24.8,24.9,24.8
dxr,rrc11,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
dxr,rrc12,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
dxr,rrc13,21.3,21.3,20.9,21.3,21.3,21.3,21.3,21.3,21.3,21.3
dxr,rrc14,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
dxr,rrc15,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
dxr,rrc16,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
dxr,rrc18,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3
dxr,rrc19,21.0,21.0,19.9,21.0,21.0,20.9,21.0,21.0,21.0,20.9
